reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a88d9682-8a77-433a-825c-493070197e3d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aku turunkan rating bintang nya. Tolong pelaku cheat dan RW di blacklist. Sering mengalami pas masuk in game tiba² ping naik dan tidak bisa lanjut main, bahakan tidak bisa masuk in game nya. Padahal jaringan Aman² saja. Tolong diperketat lagi untuk keamanannya demi kenyamanan bermain.",1,5129,1.9.48.10373,2025-03-08 02:16:20,,,1.9.48.10373
97add647-794f-42eb-a02e-fd58f5a424a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game nya diperbarui lagi lah! Enak enak main rank malah reset² sendiri, dibiarin malah makin ngelunjak deh, mana dikasih lose 7 kali menang 4 kali doang, monoton update lah, kadang aja HP nya nge frame sendiri, padahal jaringan bagus, monoton di kedepan nya dibenerin jangan gitu, bikin orang terganggu aja",1,1090,1.9.48.10373,2025-03-03 09:17:47,,,1.9.48.10373
c1482b0d-47a9-422f-a30c-df75e8624192,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kondisi lag saat di tengah game sering banget saya jumpai. Entah itu cheat atau bug. Yang barusan terjadi ping merah, data maupun wifi masih Saja macet, relog malah tidak bisa masuk. Biasannya kredit skor berkurang. Ahhh sudahlahh Sepertinya sudah saatnya migrasi ke game sebelah nih.😡😡😡",1,293,1.9.48.10373,2025-03-10 14:35:22,,,1.9.48.10373
a6efbddf-25c1-4de5-bf04-7fe3109e0b96,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Montonnnnn, gimana sih. Gak sekali dua kali pas di tengah-tengah Mach lag, dan lag nya bukan karena sinyal, padahal sinyal bagus. Dan yang ngalamin nya juga bukan saya juga tapi tim saya sama musuh juga. Terus mana lama bagetttt. Gonta-ganti ke wifi-data atau sebaliknya juga gak bener, masih saja lag, sinyal merah padahal kalo buka apk lain lancar. Ihhh nyebelin mana lagi rank😒",3,652,1.9.48.10373,2025-03-04 10:49:14,,,1.9.48.10373
7f35b682-b6f4-40ec-a3bd-41b9e8e5f3f8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sama saja kasih skin tapi dibuat kalah terus. Musuh juga dikasih musuh musuh yang berat banget, game nya juga kadang buat frustasi banget maunya main supaya seneng malah ini buat frustasi. Game gak jelas wifi bagus pas main jelek, game norak. Game buat stres gak bisa buat orang seneng. Ada juga saat aku sudah lama tidak login malah dikasih tim beban Mulu, game apa ini?? Setiap main pasti dapat tim ngetrol Mulu, terutama yang aku rasakan banget yaitu mm pada tidak jelas mainnya.",1,1699,1.9.48.10373,2025-02-26 14:09:53,,,1.9.48.10373
c6b9cf30-552e-4e32-96b0-f80b0e2fef8c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"jujur ya jujur saja, saya sangat kesal dgn kendala game ini, dri koneksi yg bermasalah,Tim yg ga seimbang.. malahan tim musuhny yg lebih jago. Dan matchmaking yg begitu lama, sebenarnya ml lagi knp sih? sy jg suka losetreak terus.. sy ter amat kecewa, semenjak update jg bnyk masalah.",1,1205,1.9.48.10373,2025-02-28 01:04:28,,,1.9.48.10373
3219a408-c9ad-4408-a268-33a57d2686cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Untuk mode rank sy rasa kurang bijak, Kalah menang dlm suatu pertandingan itu biasa. harusnya ketika kalah tak perlu turun bintang. Dari Grand master 4 turun ke master 1 alias turun 8bintang itu sesuatu yg kurang bijak. Karena utk pencapaian 3 bintang saja sulit. MEMBOSANKAN",1,733,1.9.48.10373,2025-03-04 16:36:59,,,1.9.48.10373
7401a864-fd15-49a0-b3da-771442dd1cd8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kesel, udah sering lag tiba tiba, saya kena hujat, padahal wifi di rumah ga kenapa kenapa, kalo make paketan jg, jaringan bagus kaya biasa, tapi waktu main, kaya ga make kuota, bener bener lag, udh gitu dpt tim kaga jelas banget, bisa ga sistem atur tim musuh 2 jago tim sini 2 jg, jangan di Sono semua jago tim sini kaya.... Sudah lah",1,100,1.9.48.10373,2025-03-14 22:57:51,,,1.9.48.10373
98b70e2c-88bf-4e87-ab64-e7157ae24bee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game gajelas, kayanya banyak bug deh, ini semenjak main ml lagi pas 2025 banyak sekali kasus lagi tiba tiba padahal jaringan di sekitar sangat bagus. Ga lama kali ini sempet layar handphone gabisa digerakkan pas main ml dan selama 20 detik, kemudian layar jadi hitam. Pas login ulang bisa lagi (gara gara hp nya kali spek jelek) justru saya baru beli baru ini, tolong ditanggapi yah karena pas match tadi bukan cuman tim yang ngeleg sampe ping nembus 200, tim musuh juga",1,464,1.9.48.10373,2025-03-08 15:09:20,,,1.9.48.10373
c9b2aef1-6073-4a09-b45a-a24a4638f2f6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Semakin kesini mlbb makin banyak lag, padahal untuk penyimpanan masih banyak ruang, apalagi saat war sering ngelag nanti kalo udah mati baru jalan lagi. Saat aku cek peforma jaringan udah sangat stabil.",4,19,1.9.48.10373,2025-03-16 14:29:36,,,1.9.48.10373
